---,Group,SubGroup,MaxCount,DisplayName,Description,Icon,bIsEnabled,bCanCraftDirectly,bRequired,Prop,Vendor,TraitString,GameplayTags,UpgradeTo,bShowCraftingConfirmation,bShowStorageTab,PropType,CustomCraftingVerb,QualityTags,CostType1,CostQuery1,Cost1,CostQuantity1,CostText1,CostIcon1,CostType2,CostQuery2,Cost2,CostQuantity2,CostText2,CostIcon2,Notes
BrickPile_Fort_b,"(RowName=""Decorations"")","(RowName=""Structures"")","0","NSLOCTEXT(""FortPropsTable"", ""CFC3B4B6499B2F76C961FAA74BAA0205"", ""Buncha Piled Blocks"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_brickpile_b.fort_prop_brickpile_b_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","550","","None","None","Name","None","0","","None",""
BrickPile_Fort_a,"(RowName=""Decorations"")","(RowName=""Structures"")","0","NSLOCTEXT(""FortPropsTable"", ""6A2CC9794670951AE26DDBAF452964E4"", ""Buncha Stacked Blocks"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_brickpile_a.fort_prop_brickpile_a_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","550","","None","None","Name","None","0","","None",""
BrickPile_Fort_c,"(RowName=""Decorations"")","(RowName=""Structures"")","0","NSLOCTEXT(""FortPropsTable"", ""DB5D59AB42A0A2C46270DD9CF338A47D"", ""Buncha Heaped Blocks"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_brickpile_c.fort_prop_brickpile_c_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","550","","None","None","Name","None","0","","None",""
Bucket_Gob_01,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""E608BF924DDBF33A4C1F6E8102C6B913"", ""Slightly Leaky Bucket"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_bucket_gob_01.fort_prop_bucket_gob_01_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","200","","None","None","Name","None","0","","None",""
Bucket_Gob_Broken_01,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""E7FF3872487F1F7AA6C251B062BF2887"", ""Very Leaky Bucket"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_bucket_broken__gob_container_01.fort_prop_bucket_broken__gob_container_01_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","200","","None","None","Name","None","0","","None",""
CampaignMap,"(RowName=""Decorations"")","(RowName=""Misc"")","1","NSLOCTEXT(""FortPropsTable"", ""468AA29B4515383CBBBFDE96EFC4958C"", ""War Planning Table"")","NSLOCTEXT(""FortPropsTable"", ""D3708EBE4C88CA812B77709C9EF72541"", ""Danger lurks around every corner. Plan your grand strategy from the safety of your fort."")","None","True","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortTestCampaignMap.FortTestCampaignMap_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","Currency","Name","Gold","2500","NSLOCTEXT(""FortPropsTable"", ""997F77B0446E0BA571CD9A9C4D0F4017"", ""2,500 Gold"")","None","Currency","Name","WoodLog_T1_Ash","25","NSLOCTEXT(""FortPropsTable"", ""5775E70B4050F7D816916C9344085BD6"", ""25 Ash Logs"")","None",""
Campfire_CookPot_Gob_02,"(RowName=""Decorations"")","(RowName=""Misc"")","4","NSLOCTEXT(""FortPropsTable"", ""015AE13F471F53AA9482B9BE41DBD99F"", ""Backcountry Cookpot"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_campfire_gob_02.fort_prop_campfire_gob_02_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Magic"")))","Currency","Name","WoodLog_T1_Ash","150","","None","Currency","Name","StoneRock_T1_Sandstone","150","","None",""
Campfire_Stone,"(RowName=""Decorations"")","(RowName=""Misc"")","4","NSLOCTEXT(""FortPropsTable"", ""5C7F92D643397B6307954CB32823C83D"", ""Cozy Little Campfire"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortTestCampfire.FortTestCampfire_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","WoodLog_T1_Ash","25","","None","Currency","Name","StoneRock_T1_Sandstone","25","","None",""
CarouselPavilion,"(RowName=""Decorations"")","(RowName=""Structures"")","0","NSLOCTEXT(""FortPropsTable"", ""A678CF114D985A04788AE0888C7AAC50"", ""Patchwork Pavilion"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_tent_a_bp.fort_prop_tent_a_bp_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","550","","None","Currency","Name","WoodLog_T1_Ash","50","","None",""
Cauldron_Goblin,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""8A8F68D241832187218FADB787EBBE0D"", ""Goblin Cauldron"")","","None","False","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortTestCauldron.FortTestCauldron_C","None","","None","None","False","False","FortDecor","","(GameplayTags=)","Currency","Name","Gold","50","NSLOCTEXT(""FortPropsTable"", ""FD2346C4405C344F2C0469B0785DD84C"", ""50 Gold"")","None","None","Name","None","0","","None",""
Chair_Stool_Gobcave_01,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""7C18716543A6D0AAED263D91A80ED054"", ""Mostly Sturdy Stool"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_stool_gcave_01.fort_prop_stool_gcave_01_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","200","","None","None","Name","None","0","","None",""
Column_GoblinGate_01,"(RowName=""Decorations"")","(RowName=""Structures"")","0","NSLOCTEXT(""FortPropsTable"", ""EC2B43C34B9B98F1D781CBBE591CB712"", ""Goblin Post"")","","None","False","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_gob_column_01.fort_prop_gob_column_01_C","None","","None","None","False","False","FortDecor","","(GameplayTags=)","Currency","Name","WoodLog_T1_Ash","25","NSLOCTEXT(""FortPropsTable"", ""61050A944C5145843C15879327F20086"", ""25 Ash Logs"")","None","None","Name","None","0","","None",""
Crafting_Armory,"(RowName=""Crafting"")","(RowName=""Crafting"")","1","NSLOCTEXT(""FortPropsTable"", ""B0AC94614B828432860AE5A73CB212F0"", ""Armory"")","NSLOCTEXT(""FortPropsTable"", ""4C30C0944F1ADA4D2CBB71A02F69B86B"", ""Craft and reforge armor."")","None","False","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortArmory_bp.FortArmory_bp_C","None","","None","None","True","False","FortDecor","","(GameplayTags=)","Currency","Name","WoodLog_T1_Ash","15","NSLOCTEXT(""FortPropsTable"", ""90E8AAE94377EA1659C35EBBA5569938"", ""15 Wood Logs"")","None","None","Name","None","0","","None",""
Crafting_Blacksmith,"(RowName=""Crafting"")","(RowName=""Crafting"")","1","NSLOCTEXT(""FortPropsTable"", ""F3AB6D7F42152C97924643A099DAEA06"", ""Blacksmith"")","NSLOCTEXT(""FortPropsTable"", ""6447EB1042476D87F1CF9F9108675459"", ""Craft and reforge melee weapons."")","None","False","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortBlacksmith_bp_1.FortBlacksmith_bp_1_C","/Game/Environments/GlobalProps/Blueprints/Fort/fort_npc_blacksmith_bp.fort_npc_blacksmith_bp_C","","None","None","True","False","FortDecor","","(GameplayTags=)","Currency","Name","WoodLog_T1_Ash","100","NSLOCTEXT(""FortPropsTable"", ""10C5B4D5468C2D6601EAF187053FA324"", ""100 Wood Logs"")","None","None","Name","None","0","","None",""
Crafting_Gunsmith,"(RowName=""Crafting"")","(RowName=""Crafting"")","1","NSLOCTEXT(""FortPropsTable"", ""B3D7EB15467BFEE5C7A409909E427F6A"", ""Gunsmith"")","NSLOCTEXT(""FortPropsTable"", ""8C358DDD4EAD39C40C6BDFB091B0C366"", ""Craft and reforge mechanical ranged weapons like cannons, rifles and pistols."")","None","False","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortGunsmith_bp_1.FortGunsmith_bp_1_C","None","","None","None","True","False","FortDecor","","(GameplayTags=)","Currency","Name","WoodLog_T1_Ash","15","NSLOCTEXT(""FortPropsTable"", ""E8B629E642021B0E63FBB7BF897A0BDF"", ""15 Wood Logs"")","None","None","Name","None","0","","None",""
Crafting_Sawmill,"(RowName=""Crafting"")","(RowName=""Crafting"")","1","NSLOCTEXT(""FortPropsTable"", ""42AE1529451E07326AAFCE9DCBC7F202"", ""Sawmill"")","NSLOCTEXT(""FortPropsTable"", ""C8D5BF6D4019EDE1603FCFB1296D0D24"", ""Craft wood logs into wood planks."")","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/sawmill_fort_icon.sawmill_fort_icon","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortSawmill_bp.FortSawmill_bp_C","None","","None","None","True","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Magic"")))","Currency","Name","WoodLog_T1_Ash","100","","None","Currency","Name","StoneRock_T1_Sandstone","100","","None",""
Crafting_Smelter,"(RowName=""Crafting"")","(RowName=""Crafting"")","1","NSLOCTEXT(""FortPropsTable"", ""9C164CDF49211D337789C495014F50E2"", ""Smelter"")","NSLOCTEXT(""FortPropsTable"", ""A004DDF446250FD3412DAF915833E8FA"", ""Craft metal nuggets into metal bars."")","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/smelter_fort_icon.smelter_fort_icon","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortSmelter_bp.FortSmelter_bp_C","None","","None","None","True","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Magic"")))","Currency","Name","WoodLog_T1_Ash","100","","None","Currency","Name","StoneRock_T1_Sandstone","100","","None",""
Crafting_Stonemason,"(RowName=""Crafting"")","(RowName=""Crafting"")","1","NSLOCTEXT(""FortPropsTable"", ""5996B6604385BDDD16D03CB3CB31073E"", ""Stonemason"")","NSLOCTEXT(""FortPropsTable"", ""59DA07D84ACDF184961E92BC0446F75D"", ""Craft stone rocks into stone blocks."")","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/stonemason_fort_icon.stonemason_fort_icon","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortStoneMason_bp.FortStoneMason_bp_C","None","","None","None","True","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Magic"")))","Currency","Name","WoodLog_T1_Ash","100","","None","Currency","Name","StoneRock_T1_Sandstone","100","","None",""
Crate,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""405B5C154E49B91796D1928F4E9F43DA"", ""Regular Crate"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortTestCrate.FortTestCrate_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","550","","None","None","Name","None","0","","None",""
Crate_Coast_a_03,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""683C36DE45BB62F44089EDBBDE9545A8"", ""Ransacked Crate"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_crate_coast_a_03.fort_prop_crate_coast_a_03_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","200","","None","None","Name","None","0","","None",""
Crate_Coast_b_02,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""42AEF79C4C50FFAE91DD2097F49625B5"", ""Ruined Crate"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_crate_coast_b_02.fort_prop_crate_coast_b_02_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","200","","None","None","Name","None","0","","None",""
Crate_Gobcave_03,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""E511ADA24FA9BC06FD8A4C9B88A7D3E4"", ""Ripped Open Crate"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_crate_gcave_03.fort_prop_crate_gcave_03_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","200","","None","None","Name","None","0","","None",""
CrateCrystals_01,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""F92A8A3D47BA883E70AB7C91E30A454D"", ""Crystal Filled Crate"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_crate_crystals_01.fort_crate_crystals_01_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Magic"")))","Currency","Name","Gold","3300","","None","None","Name","None","0","","None",""
CrateGroup,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""B57C338647B228CC75B6F6AD5C3F4A83"", ""Buncha Regular Crates"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_crategrp_a_bp.fort_prop_crategrp_a_bp_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","750","","None","None","Name","None","0","","None",""
DuskMageSkillObject,"(RowName=""Decorations"")","(RowName=""Structures"")","1","NSLOCTEXT(""FortPropsTable"", ""3541B77143B9A6ABAA87279D09449233"", ""Arcanum"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/arcanium1_fort_icon.arcanium1_fort_icon","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_duskmage_skillobject_01_bp.fort_duskmage_skillobject_01_bp_C","None","ClassSkillObjectLevel|Character.Player.DuskMage=1","Fort.Prop.SkillBuilding.Arcanium","DuskMageSkillObject2","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","None","None","None","0","","None","None","None","None","0","","None",""
DuskMageSkillObject2,"(RowName=""Decorations"")","(RowName=""Structures"")","1","NSLOCTEXT(""FortPropsTable"", ""BA58789A42D0F484EB030082F96EA90F"", ""Lvl. 2 Arcanum"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/arcanium2_fort_icon.arcanium2_fort_icon","True","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_duskmage_skillobject_02_bp.fort_duskmage_skillobject_02_bp_C","None","ClassSkillObjectLevel|Character.Player.DuskMage=2","Fort.Prop.SkillBuilding.Arcanium","DuskMageSkillObject3","True","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","Currency","Name","Gold","2000","","None","Currency","Name","SkillPoints","200","","None",""
DuskMageSkillObject3,"(RowName=""Decorations"")","(RowName=""Structures"")","1","NSLOCTEXT(""FortPropsTable"", ""598D827444CBB8E92833DE9519F17423"", ""Lvl. 3 Arcanum"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/arcanium3_fort_icon.arcanium3_fort_icon","True","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_duskmage_skillobject_03_bp.fort_duskmage_skillobject_03_bp_C","None","ClassSkillObjectLevel|Character.Player.DuskMage=3","Fort.Prop.SkillBuilding.Arcanium","DuskMageSkillObject4","True","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","Currency","Name","Gold","10000","","None","Currency","Name","SkillPoints","400","","None",""
DuskMageSkillObject4,"(RowName=""Decorations"")","(RowName=""Structures"")","1","NSLOCTEXT(""FortPropsTable"", ""121CBDFC477902E2FF83CE9EE3B1BAFE"", ""Lvl. 4 Arcanum"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/arcanium3_fort_icon.arcanium3_fort_icon","True","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_duskmage_skillobject_03_bp.fort_duskmage_skillobject_03_bp_C","None","ClassSkillObjectLevel|Character.Player.DuskMage=4","Fort.Prop.SkillBuilding.Arcanium","None","True","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","Currency","Name","Gold","15000","","None","Currency","Name","SkillPoints","600","","None",""
DuskMageStatue03,"(RowName=""Storage"")","(RowName=""Wardrobes"")","1","NSLOCTEXT(""FortPropsTable"", ""6523328A4BB38E9B988FBAA23FC442C3"", ""Alpha Hero of Dusk"")","NSLOCTEXT(""FortPropsTable"", ""7DCD87F14A5763ADED8B4BA666486C6A"", ""Thank-you gift for participation in Closed Alpha testing, 2019."")","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/duskmage_statue_icon.duskmage_statue_icon","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/WardrobeProps/WardrobeProp_DuskMage_Statue03.WardrobeProp_DuskMage_Statue03_C","None","","None","None","False","False","Wardrobe","","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","Currency","Name","Gold","1","","None","None","Name","None","0","","None",""
EmberCrystals_01,"(RowName=""Decorations"")","(RowName=""Foliage"")","0","NSLOCTEXT(""FortPropsTable"", ""FAA370FD43E6B2BABDFB329A6F01F68D"", ""Buncha Azure Crystals"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_crystals_01.fort_crystals_01_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Rare"")))","Currency","Name","Gold","9000","","None","None","Name","None","0","","None",""
EmberCrystals_02,"(RowName=""Decorations"")","(RowName=""Foliage"")","0","NSLOCTEXT(""FortPropsTable"", ""C0C46E0A483B8A9FC195698885CE9F77"", ""Gigantic Mysterious Crystal"")","","None","False","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_crystals_02.fort_crystals_02_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Rare"")))","Currency","Name","Gold","9000","","None","None","Name","None","0","","None",""
EmberCrystals_03,"(RowName=""Decorations"")","(RowName=""Foliage"")","0","NSLOCTEXT(""FortPropsTable"", ""2E584EAB4B2569C63D5BC59E4096E37C"", ""Lotsa Azure Crystal"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_crystal_gcave_03.fort_crystal_gcave_03_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Magic"")))","Currency","Name","Gold","2700","","None","None","Name","None","0","","None",""
EmberMaker,"(RowName=""Crafting"")","(RowName=""Crafting"")","1","NSLOCTEXT(""FortPropsTable"", ""E773CD674987B83BCE0C879776F44F67"", ""Reliquary"")","NSLOCTEXT(""FortPropsTable"", ""D357787F406DDC4E5616AB9C6E7FC1A7"", ""Relic crafting and storage."")","/Game/Environments/GlobalProps/Blueprints/Fort/reliquary_icon.reliquary_icon","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortEmberMaker_bp_1.FortEmberMaker_bp_1_C","None","","None","None","False","True","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","Currency","Name","Gold","500","","None","None","Name","None","0","","None",""
EmberWeaponMasteryShrine,"(RowName="""")","(RowName="""")","1","NSLOCTEXT(""FortPropsTable"", ""F7C737B44957CBCB84E6029C043BB533"", ""Ember Weapon Shrine"")","","None","False","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/EmberWeaponShrine.EmberWeaponShrine_C","None","","None","None","False","False","FortDecor","","(GameplayTags=)","Currency","Name","Gold","100","","None","None","Name","None","0","","None",""
Fence_Cemetery_01,"(RowName=""Decorations"")","(RowName=""Structures"")","0","NSLOCTEXT(""FortPropsTable"", ""8211CBF54FBF7952A387A083C933E89F"", ""Fence: Cemetery"")","","None","False","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_fence_gy_01.fort_fence_gy_01_C","None","","None","None","False","False","FortDecor","","(GameplayTags=)","Currency","Name","MetalBar_T1_Tin","5","NSLOCTEXT(""FortPropsTable"", ""6EED84994744DA1A1B96C39EC82F546D"", ""5 Tin Bars"")","None","None","Name","None","0","","None",""
Fence_Gob_bf_02,"(RowName=""Decorations"")","(RowName=""Structures"")","0","NSLOCTEXT(""FortPropsTable"", ""BAE2975A4DA769A1B3586D8F2B96CC1F"", ""Still Sturdy Palisade"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_fence_gobbf02.fort_prop_fence_gobbf02_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","WoodLog_T1_Ash","30","","None","None","Name","None","0","","None",""
Fence_Gob_bf_03,"(RowName=""Decorations"")","(RowName=""Structures"")","0","NSLOCTEXT(""FortPropsTable"", ""2E89921F48588F5A603343BB1D95052A"", ""Somewhat Sturdy Palisade"")","","None","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_fence_gobbf03.fort_prop_fence_gobbf03_C","None","","None","None","False","False","FortDecor","","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","WoodLog_T1_Ash","30","","None","None","Name","None","0","","None",""
